time_iso8601,stars_cumulative
2019-07-01 00:00:00+00:00,1447
2019-07-02 00:00:00+00:00,1453
2019-07-03 00:00:00+00:00,1463
2019-07-04 00:00:00+00:00,1470
2019-07-05 00:00:00+00:00,1492
2019-07-06 00:00:00+00:00,1495
2019-07-07 00:00:00+00:00,1499
2019-07-08 00:00:00+00:00,1503
2019-07-09 00:00:00+00:00,1507
2019-07-10 00:00:00+00:00,1510
2019-07-11 00:00:00+00:00,1512
2019-07-12 00:00:00+00:00,1516
2019-07-13 00:00:00+00:00,1517
2019-07-14 00:00:00+00:00,1518
2019-07-15 00:00:00+00:00,1521
2019-07-16 00:00:00+00:00,1531
2019-07-17 00:00:00+00:00,1533
2019-07-18 00:00:00+00:00,1538
2019-07-19 00:00:00+00:00,1542
2019-07-20 00:00:00+00:00,1543
2019-07-21 00:00:00+00:00,1544
2019-07-22 00:00:00+00:00,1547
2019-07-23 00:00:00+00:00,1548
2019-07-24 00:00:00+00:00,1551
2019-07-25 00:00:00+00:00,1554
2019-07-26 00:00:00+00:00,1557
2019-07-27 00:00:00+00:00,1563
2019-07-28 00:00:00+00:00,1565
2019-07-29 00:00:00+00:00,1569
2019-07-30 00:00:00+00:00,1577
2019-07-31 00:00:00+00:00,1579
2019-08-01 00:00:00+00:00,1580
2019-08-03 00:00:00+00:00,1581
2019-08-04 00:00:00+00:00,1582
2019-08-05 00:00:00+00:00,1585
2019-08-06 00:00:00+00:00,1587
2019-08-07 00:00:00+00:00,1592
2019-08-08 00:00:00+00:00,1597
2019-08-09 00:00:00+00:00,1600
2019-08-12 00:00:00+00:00,1603
2019-08-13 00:00:00+00:00,1604
2019-08-14 00:00:00+00:00,1606
2019-08-15 00:00:00+00:00,1608
2019-08-16 00:00:00+00:00,1609
2019-08-18 00:00:00+00:00,1611
2019-08-19 00:00:00+00:00,1615
2019-08-20 00:00:00+00:00,1617
2019-08-21 00:00:00+00:00,1620
2019-08-22 00:00:00+00:00,1625
2019-08-23 00:00:00+00:00,1630
2019-08-25 00:00:00+00:00,1635
2019-08-26 00:00:00+00:00,1639
