time_iso8601,forks_cumulative
2020-05-05 00:00:00+00:00,564
2020-05-06 00:00:00+00:00,565
2020-05-07 00:00:00+00:00,566
2020-05-08 00:00:00+00:00,567
2020-05-12 00:00:00+00:00,570
2020-05-13 00:00:00+00:00,571
2020-05-14 00:00:00+00:00,573
2020-05-18 00:00:00+00:00,574
2020-05-19 00:00:00+00:00,575
2020-05-20 00:00:00+00:00,576
2020-05-21 00:00:00+00:00,577
2020-05-25 00:00:00+00:00,578
2020-05-27 00:00:00+00:00,579
2020-05-29 00:00:00+00:00,580
2020-05-30 00:00:00+00:00,582
2020-05-31 00:00:00+00:00,585
2020-06-02 00:00:00+00:00,586
2020-06-03 00:00:00+00:00,587
2020-06-04 00:00:00+00:00,589
2020-06-07 00:00:00+00:00,590
2020-06-08 00:00:00+00:00,592
2020-06-09 00:00:00+00:00,593
2020-06-10 00:00:00+00:00,595
2020-06-11 00:00:00+00:00,596
2020-06-13 00:00:00+00:00,598
2020-06-15 00:00:00+00:00,599
2020-06-16 00:00:00+00:00,602
2020-06-19 00:00:00+00:00,604
2020-06-22 00:00:00+00:00,606
2020-06-24 00:00:00+00:00,607
2020-06-25 00:00:00+00:00,609
2020-06-28 00:00:00+00:00,610
2020-06-29 00:00:00+00:00,612
2020-06-30 00:00:00+00:00,613
2020-07-01 00:00:00+00:00,614
2020-07-02 00:00:00+00:00,615
2020-07-06 00:00:00+00:00,616
2020-07-07 00:00:00+00:00,617
2020-07-09 00:00:00+00:00,620
2020-07-10 00:00:00+00:00,622
2020-07-11 00:00:00+00:00,623
2020-07-13 00:00:00+00:00,626
2020-07-15 00:00:00+00:00,627
2020-07-16 00:00:00+00:00,629
2020-07-19 00:00:00+00:00,630
2020-07-20 00:00:00+00:00,631
2020-07-21 00:00:00+00:00,632
2020-07-22 00:00:00+00:00,633
2020-07-23 00:00:00+00:00,636
2020-07-24 00:00:00+00:00,637
2020-07-26 00:00:00+00:00,638
2020-07-29 00:00:00+00:00,639
2020-07-31 00:00:00+00:00,641
2020-08-02 00:00:00+00:00,642
2020-08-04 00:00:00+00:00,644
2020-08-06 00:00:00+00:00,645
2020-08-07 00:00:00+00:00,647
2020-08-11 00:00:00+00:00,648
2020-08-13 00:00:00+00:00,651
2020-08-18 00:00:00+00:00,652
2020-08-19 00:00:00+00:00,654
2020-08-21 00:00:00+00:00,656
2020-08-26 00:00:00+00:00,658
2020-08-27 00:00:00+00:00,660
2020-08-28 00:00:00+00:00,663
2020-09-02 00:00:00+00:00,664
2020-09-03 00:00:00+00:00,665
2020-09-04 00:00:00+00:00,666
2020-09-06 00:00:00+00:00,668
2020-09-07 00:00:00+00:00,669
2020-09-09 00:00:00+00:00,672
2020-09-10 00:00:00+00:00,673
2020-09-11 00:00:00+00:00,676
2020-09-12 00:00:00+00:00,677
2020-09-13 00:00:00+00:00,678
2020-09-15 00:00:00+00:00,680
2020-09-16 00:00:00+00:00,681
2020-09-17 00:00:00+00:00,682
2020-09-22 00:00:00+00:00,684
2020-09-25 00:00:00+00:00,685
2020-09-28 00:00:00+00:00,686
2020-09-29 00:00:00+00:00,688
2020-09-30 00:00:00+00:00,690
2020-10-01 00:00:00+00:00,694
2020-10-02 00:00:00+00:00,696
2020-10-06 00:00:00+00:00,697
2020-10-07 00:00:00+00:00,698
2020-10-08 00:00:00+00:00,701
2020-10-09 00:00:00+00:00,703
2020-10-10 00:00:00+00:00,704
2020-10-11 00:00:00+00:00,706
2020-10-12 00:00:00+00:00,707
2020-10-13 00:00:00+00:00,708
2020-10-14 00:00:00+00:00,709
2020-10-15 00:00:00+00:00,711
2020-10-16 00:00:00+00:00,712
2020-10-17 00:00:00+00:00,713
2020-10-19 00:00:00+00:00,716
2020-10-20 00:00:00+00:00,717
2020-10-21 00:00:00+00:00,718
2020-10-22 00:00:00+00:00,719
2020-10-23 00:00:00+00:00,720
2020-10-26 00:00:00+00:00,721
2020-10-27 00:00:00+00:00,722
2020-10-28 00:00:00+00:00,724
2020-10-29 00:00:00+00:00,725
2020-10-30 00:00:00+00:00,729
2020-11-02 00:00:00+00:00,730
2020-11-03 00:00:00+00:00,731
2020-11-04 00:00:00+00:00,732
2020-11-06 00:00:00+00:00,734
2020-11-07 00:00:00+00:00,735
2020-11-09 00:00:00+00:00,736
2020-11-10 00:00:00+00:00,737
2020-11-11 00:00:00+00:00,738
2020-11-12 00:00:00+00:00,739
2020-11-14 00:00:00+00:00,740
2020-11-16 00:00:00+00:00,741
2020-11-19 00:00:00+00:00,742
2020-11-20 00:00:00+00:00,746
2020-11-21 00:00:00+00:00,747
2020-11-23 00:00:00+00:00,752
2020-11-24 00:00:00+00:00,753
2020-11-28 00:00:00+00:00,754
2020-11-29 00:00:00+00:00,755
2020-11-30 00:00:00+00:00,758
2020-12-01 00:00:00+00:00,761
2020-12-02 00:00:00+00:00,763
2020-12-03 00:00:00+00:00,765
2020-12-04 00:00:00+00:00,766
2020-12-08 00:00:00+00:00,768
2020-12-09 00:00:00+00:00,770
2020-12-13 00:00:00+00:00,771
2020-12-14 00:00:00+00:00,772
2020-12-15 00:00:00+00:00,774
2020-12-16 00:00:00+00:00,775
2020-12-17 00:00:00+00:00,777
2020-12-22 00:00:00+00:00,778
2020-12-23 00:00:00+00:00,779
2020-12-24 00:00:00+00:00,780
2020-12-28 00:00:00+00:00,781
2021-01-02 00:00:00+00:00,782
2021-01-04 00:00:00+00:00,783
2021-01-05 00:00:00+00:00,784
2021-01-06 00:00:00+00:00,785
2021-01-07 00:00:00+00:00,786
2021-01-10 00:00:00+00:00,787
2021-01-12 00:00:00+00:00,789
2021-01-15 00:00:00+00:00,791
2021-01-19 00:00:00+00:00,792
